,X_ECI,Y_ECI,Z_ECI,r,Data
0,6715.671255301606,472.23524981993097,604.429801385112,6759.332949726562,2022-11-10 18:01:40
1,6585.327331137836,938.3770068170618,1201.0378741860882,6759.406737309374,2022-11-10 18:03:20
2,6369.97483103532,1392.4093681866057,1782.1023817735913,6759.531943541681,2022-11-10 18:05:00
3,6072.418449348291,1828.477219987026,2340.108440113984,6759.711700915187,2022-11-10 18:06:40
4,5696.530279211562,2240.9634678658126,2867.8475159920845,6759.949989553569,2022-11-10 18:08:20
5,5247.19601020452,2624.5625113438755,3358.511983135443,6760.251259111769,2022-11-10 18:10:00
6,4730.247687008567,2974.3489130795933,3805.783483815397,6760.619983616127,2022-11-10 18:11:40
7,4152.384313943364,3285.8403557754036,4203.913925254371,6761.0601702153745,2022-11-10 18:13:20
8,3521.0817368130192,3555.0541384171947,4547.798144698272,6761.574852748171,2022-11-10 18:15:00
9,2844.4933145792793,3778.5566225931843,4833.037482535113,6762.165605367733,2022-11-10 18:16:40
10,2131.342911876533,3953.505183915871,5055.993687468154,6762.832100161429,2022-11-10 18:18:20
11,1390.811730941326,4077.6823580694345,5213.832752262452,6763.57173783197,2022-11-10 18:20:00
12,632.4204524849765,4149.521980062596,5304.558419048255,6764.379373810996,2022-11-10 18:21:40
13,-134.0919066664933,4168.127206751002,5327.035211715899,6765.247164586998,2022-11-10 18:23:20
14,-898.8910768873261,4133.280370787792,5281.0009286273535,6766.1645412900125,2022-11-10 18:25:00
15,-1652.1712678428303,4045.444667512627,5167.068598551571,6767.118320107122,2022-11-10 18:26:40
16,-2384.2782903781717,3905.757710908857,4986.717948450025,6768.092948511145,2022-11-10 18:28:20
17,-3085.8308180623476,3716.017028074886,4742.276475769513,6769.070878878633,2022-11-10 18:30:00
18,-3747.838525882928,3478.657600568361,4436.890269174544,6770.033055959188,2022-11-10 18:31:40
19,-4361.815814177079,3196.7216092466874,4074.4847845569047,6770.959496512715,2022-11-10 18:33:20
20,-4919.889793696245,2873.8206069984303,3659.7158721650667,6771.829939410928,2022-11-10 18:35:00
21,-5414.901174591303,2514.0904248754077,3197.9114541695235,6772.624532908134,2022-11-10 18:36:40
22,-5840.4966966354095,2122.139223296341,2695.0043906319142,6773.324531719059,2022-11-10 18:38:20
23,-6191.21175672838,1702.989215897027,2157.4572202111367,6773.91297133012,2022-11-10 18:40:00
24,-6462.541952629728,1262.0127212538973,1592.1796263344506,6774.375289325241,2022-11-10 18:41:40
